line,day,incident,min_delay
501,Tuesday,Operations,10
501,Tuesday,Operations,10
501,Tuesday,Operations,10
501,Tuesday,Operations,16
501,Tuesday,Operations,5
501,Tuesday,Operations,5
506,Tuesday,Operations,9
506,Tuesday,Operations,9
509,Tuesday,Operations,6
503,Tuesday,Operations,3
504,Tuesday,Operations,2
511,Tuesday,Operations,9
504,Tuesday,Operations,3
510,Tuesday,Operations,6
504,Tuesday,Operations,3
512,Tuesday,Operations,10
505,Tuesday,Emergency Services,8
501,Tuesday,Operations,8
503,Tuesday,Investigation,19
505,Tuesday,Operations,8
506,Tuesday,Operations,9
501,Tuesday,Operations,8
503,Tuesday,Security,0
505,Tuesday,Operations,8
506,Tuesday,Operations,9
505,Tuesday,Operations,9
504,Tuesday,Operations,12
506,Tuesday,Operations,9
501,Tuesday,Operations,8
505,Tuesday,Operations,8
503,Tuesday,Operations,10
503,Tuesday,Operations,10
501,Tuesday,Operations,10
511,Tuesday,Operations,9
511,Tuesday,Operations,9
501,Tuesday,Security,10
501,Tuesday,Operations,10
505,Tuesday,Operations,8
504,Tuesday,Emergency Services,5
504,Tuesday,Operations,5
501,Tuesday,Held By,189
501,Tuesday,Operations,8
506,Tuesday,Mechanical,9
503,Tuesday,Operations,10
501,Tuesday,Operations,10
501,Tuesday,Operations,10
511,Tuesday,Operations,9
504,Tuesday,Mechanical,5
504,Tuesday,Operations,5
503,Tuesday,Operations,10
504,Tuesday,Operations,8
506,Tuesday,Operations,9
510,Tuesday,Security,10
510,Tuesday,Operations,10
505,Tuesday,Operations,8
505,Tuesday,Operations,8
501,Tuesday,Cleaning - Unsanitary,9
506,Tuesday,Operations,8
505,Tuesday,Operations,8
501,Tuesday,Operations,9
510,Tuesday,Operations,10
511,Tuesday,Operations,9
501,Tuesday,Operations,10
503,Tuesday,Operations,10
504,Tuesday,Operations,5
504,Tuesday,Operations,4
504,Tuesday,Operations,5
505,Tuesday,Cleaning - Unsanitary,8
506,Tuesday,Operations,9
506,Tuesday,Operations,9
506,Tuesday,Operations,9
506,Tuesday,Operations,9
504,Tuesday,Operations,5
509,Tuesday,Operations,8
501,Tuesday,Operations,9
501,Tuesday,Operations,9
504,Tuesday,Mechanical,5
501,Tuesday,Operations,10
501,Tuesday,Operations,10
501,Tuesday,Operations,8
501,Tuesday,Operations,8
501,Tuesday,Mechanical,8
505,Tuesday,Operations,8
504,Tuesday,Operations,5
506,Tuesday,Collision - TTC Involved,14
505,Tuesday,Emergency Services,8
511,Tuesday,Operations,8
505,Tuesday,Operations,8
505,Tuesday,Operations,8
510,Tuesday,Operations,9
505,Tuesday,Operations,8
504,Tuesday,Operations,5
510,Tuesday,Operations,10
504,Tuesday,Cleaning - Unsanitary,5
505,Tuesday,Operations,8
504,Tuesday,Operations,5
506,Tuesday,Operations,9
506,Tuesday,Operations,6
505,Tuesday,Cleaning - Unsanitary,8
501,Tuesday,Utilized Off Route,10
501,Tuesday,Investigation,5
501,Tuesday,Security,6
501,Tuesday,Held By,7
505,Tuesday,General Delay,5
501,Tuesday,Investigation,9
510,Tuesday,Security,9
501,Tuesday,Diversion,47
501,Tuesday,Utilized Off Route,4
501,Tuesday,Held By,11
505,Tuesday,Emergency Services,11
506,Tuesday,Operations,10
506,Tuesday,Mechanical,8
504,Tuesday,Cleaning - Unsanitary,6
509,Tuesday,Security,0
504,Wednesday,Operations,5
511,Wednesday,Security,0
504,Wednesday,Operations,10
504,Wednesday,Operations,10
501,Wednesday,Operations,8
501,Wednesday,Operations,17
504,Wednesday,Operations,3
504,Wednesday,Operations,3
501,Wednesday,Operations,5
501,Wednesday,Operations,5
501,Wednesday,Mechanical,4
509,Wednesday,Operations,8
504,Wednesday,Operations,4
509,Wednesday,Security,10
504,Wednesday,Security,5
504,Wednesday,Operations,3
504,Wednesday,Operations,5
504,Wednesday,Operations,3
501,Wednesday,Operations,8
504,Wednesday,Operations,2
503,Wednesday,Held By,14
501,Wednesday,Operations,6
501,Wednesday,Operations,8
504,Wednesday,Operations,3
506,Wednesday,Operations,9
505,Wednesday,Held By,10
504,Wednesday,Mechanical,5
